ad_id,car_id,seller_id,title,date_post
1,26,11,Dijual Daihatsu Xenia body MPV tahun 2019,2023-06-06
2,37,30,Dijual Honda CR-V body SUV tahun 2017,2023-04-20
3,7,59,Dijual Toyota Agya body Hatchback tahun 2014,2023-04-18
4,23,62,Dijual Daihatsu Terios body SUV tahun 2019,2023-04-10
5,6,32,Dijual Toyota Agya body Hatchback tahun 2019,2022-11-12
6,34,95,Dijual Honda Jazz body Hatchback tahun 2015,2023-08-09
7,3,61,Dijual Toyota Yaris body Hatchback tahun 2014,2022-10-10
8,5,77,Dijual Toyota Yaris body Hatchback tahun 2012,2023-06-21
9,34,61,Dijual Honda Jazz body Hatchback tahun 2015,2023-04-21
10,19,67,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-07-23
11,2,65,Dijual Toyota Yaris body Hatchback tahun 2018,2023-06-23
12,35,72,Dijual Honda Jazz body Hatchback tahun 2013,2023-06-20
13,33,33,Dijual Honda Jazz body Hatchback tahun 2018,2023-04-25
14,30,8,Dijual Daihatsu Xenia body MPV tahun 2018,2022-10-22
15,46,9,Dijual Suzuki Ertiga body MPV tahun 2015,2023-08-09
16,4,63,Dijual Toyota Yaris body Hatchback tahun 2020,2023-03-17
17,10,2,Dijual Toyota Agya body Hatchback tahun 2017,2022-09-13
18,28,2,Dijual Daihatsu Xenia body MPV tahun 2017,2023-05-21
19,4,75,Dijual Toyota Yaris body Hatchback tahun 2020,2022-12-25
20,23,41,Dijual Daihatsu Terios body SUV tahun 2019,2023-07-15
21,41,61,Dijual Honda Civic body Hatchback tahun 2018,2023-06-17
22,2,55,Dijual Toyota Yaris body Hatchback tahun 2018,2023-05-11
23,8,80,Dijual Toyota Agya body Hatchback tahun 2016,2022-12-15
24,9,93,Dijual Toyota Agya body Hatchback tahun 2022,2023-06-15
25,48,52,Dijual Suzuki Ertiga body MPV tahun 2016,2022-12-01
26,22,15,Dijual Daihatsu Terios body SUV tahun 2022,2023-04-04
27,12,91,Dijual Toyota Calya body Wagon tahun 2019,2022-08-27
28,10,91,Dijual Toyota Agya body Hatchback tahun 2017,2023-07-20
29,39,86,Dijual Honda CR-V body SUV tahun 2016,2022-09-12
30,26,33,Dijual Daihatsu Xenia body MPV tahun 2019,2023-08-20
31,44,38,Dijual Honda Civic body Sedan tahun 2013,2023-05-09
32,14,19,Dijual Toyota Calya body Wagon tahun 2016,2022-09-16
33,40,38,Dijual Honda CR-V body SUV tahun 2018,2022-11-17
34,36,3,Dijual Honda CR-V body SUV tahun 2018,2022-12-30
35,32,43,Dijual Honda Jazz body Hatchback tahun 2019,2023-07-12
36,32,41,Dijual Honda Jazz body Hatchback tahun 2019,2023-01-14
37,32,9,Dijual Honda Jazz body Hatchback tahun 2019,2023-06-07
38,39,66,Dijual Honda CR-V body SUV tahun 2016,2022-10-14
39,19,80,Dijual Daihatsu Ayla body Hatchback tahun 2017,2022-10-28
40,9,21,Dijual Toyota Agya body Hatchback tahun 2022,2022-09-04
41,36,48,Dijual Honda CR-V body SUV tahun 2018,2023-01-01
42,42,35,Dijual Honda Civic body Sedan tahun 2010,2023-03-25
43,50,98,Dijual Suzuki Ertiga body MPV tahun 2018,2022-09-16
44,20,18,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-05-19
45,33,92,Dijual Honda Jazz body Hatchback tahun 2018,2023-01-24
46,19,88,Dijual Daihatsu Ayla body Hatchback tahun 2017,2022-10-03
47,40,18,Dijual Honda CR-V body SUV tahun 2018,2022-09-08
48,12,25,Dijual Toyota Calya body Wagon tahun 2019,2022-10-03
49,4,12,Dijual Toyota Yaris body Hatchback tahun 2020,2023-08-03
50,18,7,Dijual Daihatsu Ayla body Hatchback tahun 2015,2022-12-06
51,22,8,Dijual Daihatsu Terios body SUV tahun 2022,2023-05-19
52,6,10,Dijual Toyota Agya body Hatchback tahun 2019,2022-11-19
53,17,44,Dijual Daihatsu Ayla body Hatchback tahun 2019,2023-03-01
54,8,4,Dijual Toyota Agya body Hatchback tahun 2016,2022-12-06
55,43,60,Dijual Honda Civic body Sedan tahun 2013,2022-08-31
56,47,60,Dijual Suzuki Ertiga body MPV tahun 2018,2023-05-22
57,1,69,Dijual Toyota Yaris body Hatchback tahun 2016,2023-01-20
58,34,1,Dijual Honda Jazz body Hatchback tahun 2015,2023-05-04
59,42,83,Dijual Honda Civic body Sedan tahun 2010,2023-01-08
60,45,21,Dijual Honda Civic body Hatchback tahun 2019,2023-04-14
61,7,20,Dijual Toyota Agya body Hatchback tahun 2014,2023-04-10
62,4,85,Dijual Toyota Yaris body Hatchback tahun 2020,2022-12-01
63,33,8,Dijual Honda Jazz body Hatchback tahun 2018,2022-12-24
64,20,77,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-05-24
65,12,33,Dijual Toyota Calya body Wagon tahun 2019,2023-07-22
66,23,77,Dijual Daihatsu Terios body SUV tahun 2019,2023-02-08
67,17,80,Dijual Daihatsu Ayla body Hatchback tahun 2019,2023-04-14
68,21,91,Dijual Daihatsu Terios body SUV tahun 2018,2022-09-28
69,19,62,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-01-17
70,29,48,Dijual Daihatsu Xenia body MPV tahun 2014,2023-03-05
71,38,69,Dijual Honda CR-V body SUV tahun 2009,2023-01-26
72,26,73,Dijual Daihatsu Xenia body MPV tahun 2019,2023-08-25
73,45,12,Dijual Honda Civic body Hatchback tahun 2019,2022-11-26
74,36,44,Dijual Honda CR-V body SUV tahun 2018,2023-04-12
75,22,62,Dijual Daihatsu Terios body SUV tahun 2022,2023-03-18
76,14,82,Dijual Toyota Calya body Wagon tahun 2016,2023-04-27
77,36,14,Dijual Honda CR-V body SUV tahun 2018,2023-07-27
78,3,9,Dijual Toyota Yaris body Hatchback tahun 2014,2023-01-20
79,20,91,Dijual Daihatsu Ayla body Hatchback tahun 2017,2023-07-25
80,46,30,Dijual Suzuki Ertiga body MPV tahun 2015,2022-12-20
81,33,22,Dijual Honda Jazz body Hatchback tahun 2018,2022-09-04
82,10,86,Dijual Toyota Agya body Hatchback tahun 2017,2022-09-14
83,33,20,Dijual Honda Jazz body Hatchback tahun 2018,2022-09-11
84,8,48,Dijual Toyota Agya body Hatchback tahun 2016,2023-06-11
85,38,55,Dijual Honda CR-V body SUV tahun 2009,2023-04-19
86,33,73,Dijual Honda Jazz body Hatchback tahun 2018,2023-08-09
87,23,23,Dijual Daihatsu Terios body SUV tahun 2019,2023-07-23
88,34,100,Dijual Honda Jazz body Hatchback tahun 2015,2023-06-27
89,48,25,Dijual Suzuki Ertiga body MPV tahun 2016,2023-01-11
90,39,36,Dijual Honda CR-V body SUV tahun 2016,2022-12-05
91,13,39,Dijual Toyota Calya body Wagon tahun 2017,2022-11-23
92,25,80,Dijual Daihatsu Terios body SUV tahun 2018,2023-02-26
93,42,36,Dijual Honda Civic body Sedan tahun 2010,2022-12-23
94,50,86,Dijual Suzuki Ertiga body MPV tahun 2018,2023-07-16
95,3,34,Dijual Toyota Yaris body Hatchback tahun 2014,2022-12-10
96,40,33,Dijual Honda CR-V body SUV tahun 2018,2023-04-22
97,22,9,Dijual Daihatsu Terios body SUV tahun 2022,2022-09-04
98,32,74,Dijual Honda Jazz body Hatchback tahun 2019,2022-10-27
99,12,78,Dijual Toyota Calya body Wagon tahun 2019,2023-06-12
100,30,46,Dijual Daihatsu Xenia body MPV tahun 2018,2023-06-13
